CalName,CaseId,StationName,π¶¬ ÷∏¡Ó(%),Idc,Ud,UdL,Udio,Pd,Pconv,miu,Ang,TC,Uac,Uv,Qconv,Qf_max,Qf_min,Udio_N,Uv_N,
≤‚ ‘1493816327,SGFH222,S’æ, 10.0000,  0.1300,500.0000,499.8629,262.6131, 64.9999, 65.0928,  3.6303, 15.6673,   7,500.0000,194.4599, 20.5777,740.3461,660.3461,262.6131,194.4599,
≤‚ ‘1493816327,SGFH222,K’æ, 10.0000,  0.0300,498.6121,498.6604,336.3292, 14.9584, 14.9361,  1.4453, 41.5280,   3,220.0000,249.0452, 13.5689,361.8911,281.8911,336.3292,249.0452,
≤‚ ‘1493816327,SGFH222,P’æ, 10.0000,  0.1000,498.0924,498.1979,264.2790, 49.8091, 49.7379,  3.2262, 18.1012,   5,500.0000,195.6935, 17.8641,612.5112,532.5112,264.2790,195.6935,
≤‚ ‘1493816327,SGFH222,S’æ, 15.0000,  0.1950,500.0000,499.7944,265.6668, 97.4999, 97.6503,  4.8736, 16.9441,   6,500.0000,196.7211, 34.5398,740.3461,660.3461,265.6668,196.7211,
≤‚ ‘1493816327,SGFH222,K’æ, 15.0000,  0.0450,497.9182,497.9906,336.3292, 22.4064, 22.3697,  2.1642, 41.2592,   3,220.0000,249.0452, 20.3897,361.8911,281.8911,336.3292,249.0452,
≤‚ ‘1493816327,SGFH222,P’æ, 15.0000,  0.1500,497.1387,497.2969,264.2790, 74.5706, 74.4554,  4.7825, 17.5704,   5,500.0000,195.6935, 27.1780,612.5112,532.5112,264.2790,195.6935,
≤‚ ‘1493816327,SGFH222,S’æ, 20.0000,  0.2600,500.0000,499.7258,265.6668,129.9999,130.2153,  6.5444, 15.9712,   6,500.0000,196.7211, 45.9120,740.3461,660.3461,265.6668,196.7211,
≤‚ ‘1493816327,SGFH222,K’æ, 20.0000,  0.0600,497.2242,497.3208,336.3292, 29.8335, 29.7804,  2.8809, 40.9889,   3,220.0000,249.0452, 27.2338,361.8911,281.8911,336.3292,249.0452,
≤‚ ‘1493816327,SGFH222,P’æ, 20.0000,  0.2000,496.1849,496.3958,267.3532, 99.2368, 99.0720,  5.7606, 19.0578,   4,500.0000,197.9698, 40.1444,612.5112,532.5112,267.3532,197.9698,
≤‚ ‘1493816327,SGFH222,S’æ, 25.0000,  0.3250,500.0000,499.6573,268.7923,162.4999,162.7877,  7.4438, 17.2585,   5,500.0000,199.0354, 63.1107,740.3461,660.3461,268.7923,199.0354,
